,name,link,site,max_salary,min_salary,currency
0,Аналитик,https://ekaterinburg.hh.ru/vacancy/55532826?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,240000.0,,руб.
1,Системный аналитик,https://ekaterinburg.hh.ru/vacancy/55033617?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,150000.0,,руб.
2,Маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/55595735?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,80000.0,руб.
3,Аналитик. Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/48176313?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,90000.0,,руб.
4,Аналитик,https://ekaterinburg.hh.ru/vacancy/55850471?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
5,Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/55479672?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,90000.0,руб.
6,Аналитик 1С,https://ekaterinburg.hh.ru/vacancy/55511117?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,150000.0,120000.0,руб.
7,Data-аналитик по ценообразованию,https://ekaterinburg.hh.ru/vacancy/54738014?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,80000.0,руб.
8,Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/55410678?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
9,Аналитик,https://ekaterinburg.hh.ru/vacancy/46147513?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
10,Аналитик бизнес-процессов,https://ekaterinburg.hh.ru/vacancy/55153639?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,100000.0,руб.
11,Аналитик,https://ekaterinburg.hh.ru/vacancy/55552624?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,45000.0,руб.
12,Продуктовый аналитик на развитие системы NAUMEN HR,https://ekaterinburg.hh.ru/vacancy/55409991?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
13,Аналитик в области доходов региональных бюджетов,https://ekaterinburg.hh.ru/vacancy/55561101?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
14,Системный аналитик (Стажёр),https://ekaterinburg.hh.ru/vacancy/55870265?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,20000.0,10000.0,руб.
15,Ведущий бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/49968555?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,150000.0,руб.
16,Маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/55376385?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,75000.0,руб.
17,Системный аналитик / Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/55849375?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,120000.0,70000.0,руб.
18,Финансовый аналитик,https://ekaterinburg.hh.ru/vacancy/55459905?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,50000.0,руб.
19,Маркетолог - аналитик (стратегическое развитие),https://ekaterinburg.hh.ru/vacancy/55390232?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
20,IT Рroject manager/Системный аналитик,https://ekaterinburg.hh.ru/vacancy/55289905?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,150000.0,100000.0,руб.
21,Экономист-аналитик,https://ekaterinburg.hh.ru/vacancy/55581343?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,70000.0,60000.0,руб.
22,Аналитик клиентских отзывов интернет-магазина,https://ekaterinburg.hh.ru/vacancy/55150307?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
23,Аналитик на проекты Bitrix,https://ekaterinburg.hh.ru/vacancy/54950434?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
24,Аналитик отдела продаж,https://ekaterinburg.hh.ru/vacancy/53997126?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,60000.0,руб.
25,Системный аналитик,https://ekaterinburg.hh.ru/vacancy/49699097?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
26,Аналитик бизнес-процессов,https://ekaterinburg.hh.ru/vacancy/55551616?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
27,Специалист / аналитик по Power BI,https://ekaterinburg.hh.ru/vacancy/55547087?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
28,Аналитик,https://ekaterinburg.hh.ru/vacancy/55070983?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,30000.0,руб.
29,Системный аналитик,https://ekaterinburg.hh.ru/vacancy/55581299?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
30,Маркетолог-аналитик,https://ekaterinburg.hh.ru/vacancy/53215658?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
31,Аналитик,https://ekaterinburg.hh.ru/vacancy/53058289?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,50000.0,40000.0,руб.
32,Аналитик,https://ekaterinburg.hh.ru/vacancy/55541049?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
33,Системный аналитик (junior),https://ekaterinburg.hh.ru/vacancy/54916511?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
34,Аналитик-маркетолог,https://ekaterinburg.hh.ru/vacancy/55338610?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,60000.0,50000.0,руб.
35,Экономист-аналитик (в отдел маркетинга),https://ekaterinburg.hh.ru/vacancy/55598306?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,40000.0,руб.
36,Системный аналитик,https://ekaterinburg.hh.ru/vacancy/55562181?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,110000.0,руб.
37,Аналитик (направление речевых технологий),https://ekaterinburg.hh.ru/vacancy/49150429?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
38,Экономист-аналитик,https://ekaterinburg.hh.ru/vacancy/55576585?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,60000.0,50000.0,руб.
39,Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/55502434?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
40,Бизнес-аналитик,https://ekaterinburg.hh.ru/vacancy/54904915?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,150000.0,руб.
41,Помощник начальника управления торговли (аналитик),https://ekaterinburg.hh.ru/vacancy/55210935?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,45000.0,45000.0,руб.
42,Аналитик\Руководитель проектов,https://ekaterinburg.hh.ru/vacancy/55214881?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,200000.0,,руб.
43,Аналитик,https://ekaterinburg.hh.ru/vacancy/55454841?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,100000.0,80000.0,руб.
44,Аналитик (ПО для fintech компаний),https://ekaterinburg.hh.ru/vacancy/54689388?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
45,Аналитик,https://ekaterinburg.hh.ru/vacancy/55045168?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
46,Финансовый аналитик (ценные бумаги),https://ekaterinburg.hh.ru/vacancy/54617619?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,100000.0,руб.
47,Бизнес-аналитик (Операционный маркетинг),https://ekaterinburg.hh.ru/vacancy/55481780?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,,
48,Специалист по работе с маркетплейсами,https://ekaterinburg.hh.ru/vacancy/55363897?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,https://ekaterinburg.hh.ru/search/vacancy/,,40000.0,руб.
